d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),,52.7,53.13290793
,,,,,,,,,,,,,,,,52.2,
,,,,,,,,,,,,,,,,56.6,
,,,,,,,,,,,,,,,,47.9,
,,,,,,,,,,,,,,,,50.7,
,,,,,,,,,,,,,,,,52.3,
,,,,,,,,,,,,,,,,47.5,
,,,,,,,,,,,,,,,,48.2,
,,,,,,,,,,,,,,,,57.2,
,,,,,,,,,,,,,,,,53.5,
,,,,,,,,,,,,,,,,54.6,
,,,,,,,,,,,,,,,,54.2,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,53.1,
,,,,,,,,,,,,,,,,54.2,
,,,,,,,,,,,,,,,,48,
,,,,,,,,,,,,,,,,49.6,
,,,,,,,,,,,,,,,,48.5,
,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,56.1,
